 information summary of job: 

 2/d simple shear, hypoelastic material based on ZJ stress rate, mid-point Eul prescribed displ. 19-10-2023                                                      

       inc       cycl       cut       time step     total time
     (kstep)  (iteration)  back          of             of
        #          #         #         the inc        the job

         1         2         0      0.5000000E-01  0.5000000E-01
         2         2         0      0.5000000E-01  0.1000000E+00
         3         2         0      0.5000000E-01  0.1500000E+00
         4         2         0      0.5000000E-01  0.2000000E+00
         5         2         0      0.5000000E-01  0.2500000E+00
         6         2         0      0.5000000E-01  0.3000000E+00
         7         2         0      0.5000000E-01  0.3500000E+00
         8         2         0      0.5000000E-01  0.4000000E+00
         9         2         0      0.5000000E-01  0.4500000E+00
        10         2         0      0.5000000E-01  0.5000000E+00
